,imdbID,title,year,prescore,postscore
0,tt0097626,johnny handsome,1989,0.4,0.0
1,tt0120903,x-men,2000,5.4,0.0
2,tt0077975,national lampoon's animal house,1978,0.0,0.0
3,tt1649419,the impossible,2012,0.2,0.2
4,tt1099212,twilight,1998,0.0,0.0
5,tt0077869,the lord of the rings,1978,0.0,0.0
6,tt0120338,titanic,1997,5.4,10.399999999999999
7,tt2488496,star wars: episode vii - the force awakens,2015,11.7,0.0
8,tt4154756,avengers: infinity war,2018,1.5999999999999999,0.0
9,tt0119654,men in black,1997,5.4,0.0
10,tt0369610,jurassic world,2015,0.4,0.0
11,tt0848228,the avengers,1998,5.6,0.0
12,tt0848228,the avengers,2012,1.2999999999999998,0.0
13,tt2820852,furious 7,2015,0.4,0.0
14,tt2395427,avengers: age of ultron,2015,1.4999999999999998,0.0
15,tt1825683,black panther,2018,10.2,0.125
16,tt2527336,star wars: episode viii - the last jedi,2017,11.2,0.0
17,tt4881806,jurassic world: fallen kingdom,2018,0.4,0.0
18,tt2294629,frozen,2013,0.0,0.0
19,tt0101414,beauty and the beast,1962,0.0,0.2
20,tt0101414,beauty and the beast,1991,5.0,0.2
21,tt0101414,beauty and the beast,2017,21.4,0.2
22,tt3606756,incredibles 2,2018,6.000000000000001,0.0
23,tt4630562,the fate of the furious,2017,5.2,0.0
24,tt1300854,iron man 3,2013,11.200000000000001,0.0
25,tt2293640,minions,2015,5.3,0.0
26,tt3498820,captain america: civil war,2016,6.6000000000000005,0.0
27,tt1477834,aquaman,2018,6.0,0.0
28,tt1399103,transformers: dark of the moon,2011,5.966666666666667,0.0
29,tt0167260,the lord of the rings: the return of the king,2003,1.4,15.0
30,tt1074638,skyfall,2012,17.866666666666667,0.0
31,tt2109248,transformers: age of extinction,2014,0.4,0.0
32,tt1345836,the dark knight rises,2012,27.1,0.0
33,tt0435761,toy story 3,2010,16.2,0.2
34,tt0383574,pirates of the caribbean: dead man's chest,2006,0.5,0.0
35,tt3748528,rogue one: a star wars story,2016,6.1,0.0
36,tt0103639,aladdin,1992,0.0,0.0
37,tt1298650,pirates of the caribbean: on stranger tides,2011,11.700000000000001,0.0
38,tt3469046,despicable me 3,2017,5.800000000000001,0.0
39,tt2277860,finding dory,2016,6.000000000000001,0.0
40,tt0120915,star wars: episode i - the phantom menace,1999,0.6000000000000001,0.0
41,tt0120915,star wars: episode i  the phantom menace,1999,0.6000000000000001,0.0
42,tt0099012,alice,1990,17.057575757575755,0.1
43,tt0335563,wonderland,2003,5.4,0.0
