,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted,budget_per_actor,budget_per_time,runtime_per_actor,percent_revenue,total_ratings,book,sup,hor,com,spy,his,war,psy,rom,mon,fan,mus,pol,bio,sci,act,dra,dis,adv,mys,thr,dys,cri,epi,oth,ani,based_on_book,other,prescore,postscore,precount_wins,precount_noms
15,tt1911600,miss bala,2019,8286,6.5,15.0,15.4,3.0,4,104.0,0.3921568627450981,5.882352941176472,1.9607843137254906,0.05656108597285069,34.666666666666664,2.666666666666669,53.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0
16,tt7043012,velvet buzzsaw,2019,45626,5.7,21.2,,9.0,3,113.0,0.3921568627450981,8.313725490196079,0.9237472766884532,0.07357279194863786,12.555555555555555,,260.0682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0,1.0666666666666667,0.0,0,6
17,tt3513498,the lego movie 2: the second part,2019,41571,6.7,99.0,191.3,9.0,5,107.0,0.3921568627450981,38.82352941176471,4.313725490196079,0.3628367234744365,11.88888888888889,93.23232323232325,278.52570000000003,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,1,1.0,0,0.0,0.0,0,0
18,tt7634968,what men want,2019,14832,5.1,20.0,72.2,5.0,3,117.0,0.3921568627450981,7.843137254901961,1.5686274509803924,0.06703536115300822,23.4,261.0,75.6432,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.2,0.0,0,1
19,tt5719748,cold pursuit,2019,43117,6.2,60.0,76.3,8.0,4,118.0,0.3921568627450981,23.529411764705888,2.941176470588236,0.1994017946161516,14.75,27.166666666666664,267.3254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,0,1,0,0,0,1.0,0,0.8,0.0,0,4
20,tt8128188,high flying bird,2019,5786,6.2,2.0,,7.0,1,91.0,0.3921568627450981,0.7843137254901962,0.11204481792717089,0.008618832148243914,13.0,,35.873200000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0,5.3,0.0,1,2
21,tt4504044,the prodigy,2019,16975,5.9,6.0,21.2,3.0,2,92.0,0.3921568627450981,2.3529411764705888,0.7843137254901963,0.025575447570332487,30.666666666666668,253.33333333333334,100.1525,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0
22,tt2452244,isn't it romantic,2019,51478,5.9,31.0,48.8,4.0,3,89.0,0.3921568627450981,12.15686274509804,3.03921568627451,0.13659396342806787,22.25,57.41935483870967,303.72020000000003,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
23,tt8155288,happy death day 2u,2019,41804,6.2,9.0,64.5,5.0,4,100.0,0.3921568627450981,3.5294117647058827,0.7058823529411765,0.03529411764705883,20.0,616.6666666666666,259.1848,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0.125,0.0,0,1
24,tt2386490,how to train your dragon: the hidden world,2019,80386,7.5,129.0,520.0,7.0,4,104.0,0.3921568627450981,50.58823529411765,7.226890756302522,0.4864253393665159,14.857142857142858,303.1007751937984,602.895,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,1,1.0,0,14.4,0.0,3,7
25,tt6513120,fighting with my family,2019,43257,7.1,11.0,39.1,6.0,3,108.0,0.3921568627450981,4.313725490196078,0.7189542483660131,0.03994190268700072,18.0,255.45454545454547,307.1247,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0
26,tt1488606,triple frontier,2019,86081,6.5,115.0,,5.0,3,125.0,0.3921568627450981,45.098039215686285,9.019607843137257,0.3607843137254903,25.0,,559.5265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,1,0,0,0,0.0,0,5.422222222222222,0.0,1,4
27,tt0012349,the kid,2019,102162,8.3,7.0,1.6,5.0,4,100.0,0.3921568627450981,2.7450980392156867,0.5490196078431373,0.027450980392156866,20.0,-77.14285714285714,847.9446,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0,0.4,0.0,0,2
28,tt6428676,wonder park,2019,6729,5.8,100.0,119.6,8.0,3,85.0,0.3921568627450981,39.215686274509814,4.901960784313727,0.4613610149942331,10.625,19.599999999999994,39.0282,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0,0
29,tt5968394,captive state,2019,40817,6.0,25.0,8.8,5.0,4,109.0,0.3921568627450981,9.803921568627453,1.9607843137254908,0.0899442345745638,21.8,-64.8,244.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,1,0,0,0,0.0,0,0.2,0.0,0,1
30,tt8323104,nancy drew and the hidden staircase,2019,2237,5.7,,,3.0,4,89.0,0.3921568627450981,,,,29.666666666666668,,12.7509,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,1,0,0,0,1.0,0,0.0,0.0,0,0
31,tt5977276,the aftermath,2019,10804,6.3,,9.2,3.0,2,108.0,0.3921568627450981,,,,36.0,,68.06519999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,5
32,tt6472976,five feet apart,2019,25815,7.2,7.0,91.5,3.0,2,116.0,0.3921568627450981,2.7450980392156867,0.9150326797385623,0.023664638269100747,38.666666666666664,1207.142857142857,185.868,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
33,tt1860242,the highwaymen,2019,56731,6.9,49.0,,7.0,3,132.0,0.3921568627450981,19.21568627450981,2.745098039215687,0.14557338086749858,18.857142857142858,,391.44390000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,0,0,0,0.0,0,11.200000000000001,0.0,2,6
34,tt6643972,triple threat,2019,7270,5.5,,,8.0,2,96.0,0.3921568627450981,,,,12.0,,39.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0
35,tt0800325,the dirt,2019,32198,7.0,,,5.0,3,108.0,0.3921568627450981,,,,21.6,,225.386,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0
36,tt0033563,dumbo,2019,111700,7.2,170.0,353.3,5.0,3,112.0,0.3921568627450981,66.66666666666667,13.333333333333334,0.5952380952380952,22.4,107.82352941176471,804.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,1.0,0,6.000000000000001,0.0,1,5
37,tt6511932,the beach bum,2019,12210,5.5,5.0,4.6,7.0,1,95.0,0.3921568627450981,1.9607843137254903,0.2801120448179272,0.02063983488132095,13.571428571428571,-8.000000000000007,67.155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5.4,0.0,1,2
38,tt9024106,unplanned,2019,10393,5.8,6.0,21.0,3.0,2,106.0,0.3921568627450981,2.3529411764705888,0.7843137254901963,0.02219755826859046,35.333333333333336,250.0,60.2794,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0
39,tt0448115,shazam!,2019,191410,7.1,100.0,364.6,6.0,4,132.0,0.3921568627450981,39.215686274509814,6.535947712418302,0.2970885323826501,22.0,264.6,1359.011,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0.4,0.0,0,2
40,tt0098084,pet sematary,2019,88234,6.6,21.0,112.4,3.0,2,101.0,0.3921568627450981,8.23529411764706,2.7450980392156867,0.08153756552125802,33.666666666666664,435.23809523809524,582.3444000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0.4,0.0,0,2
41,tt4807408,the best of enemies,2019,4956,7.0,10.0,10.2,2.0,2,133.0,0.3921568627450981,3.9215686274509807,1.9607843137254903,0.02948547840188707,66.5,1.999999999999993,34.692,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,5.2,0.0,1,2
42,tt7976208,the haunting of sharon tate,2019,2349,2.9,,,5.0,3,94.0,0.3921568627450981,,,,18.8,,6.812099999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0
