,imdbID,title,year,budget_per_actor,budget_per_time,runtime_per_actor,percent_revenue,total_ratings
0,tt4154796,avengers: endgame,2019,8.725490196078432,0.7713140504820714,11.3125,685.9550561797753,5213.2965
1,tt1979376,toy story 4,2019,6.03318250377074,0.7843137254901962,7.6923076923076925,436.5,1066.5474000000002
2,tt4154664,captain marvel,2019,6.862745098039217,0.5534471853257433,12.4,544.5714285714286,2623.4213999999997
3,tt6320628,spider-man: far from home,2019,6.274509803921569,0.4863961088311294,12.9,607.5,1815.7692
4,tt4520988,frozen ii,2019,14.705882352941178,0.5711022272986865,25.75,594.0,93.9802
5,tt0103639,aladdin,2019,10.252100840336137,0.5606617647058825,18.285714285714285,474.3169398907104,2715.888
6,tt7349950,it chapter two,2019,3.8725490196078436,0.18331592992226478,21.125,497.59493670886076,851.4092
7,tt6857112,us,2019,1.9607843137254903,0.0676132521974307,29.0,1175.5,1134.4359000000002
8,tt5886046,escape room,2019,0.504201680672269,0.03529411764705883,14.285714285714286,1629.9999999999998,387.3555
10,tt7616798,a dog's way home,2019,1.1764705882352942,0.07352941176470588,16.0,322.7777777777777,72.159
11,tt2728784,after darkness,2019,,,32.666666666666664,,1.3463999999999998
12,tt6823368,glass,2019,1.5686274509803924,0.06079951360389117,25.8,1135.0,1151.9779
13,tt5316540,close,2019,,,23.5,,95.69839999999999
14,tt6811018,the kid who would be king,2019,5.784313725490197,0.1928104575163399,30.0,-45.59322033898305,68.502
15,tt0379786,serenity,2019,1.9607843137254908,0.09248982611912691,21.2,-42.4,2136.2562
16,tt1911600,miss bala,2019,1.9607843137254906,0.05656108597285069,34.666666666666664,2.666666666666669,53.859
17,tt7043012,velvet buzzsaw,2019,0.9237472766884532,0.07357279194863786,12.555555555555555,,260.0682
18,tt3513498,the lego movie 2: the second part,2019,4.313725490196079,0.3628367234744365,11.88888888888889,93.23232323232325,278.52570000000003
19,tt7634968,what men want,2019,1.5686274509803924,0.06703536115300822,23.4,261.0,75.6432
20,tt5719748,cold pursuit,2019,2.941176470588236,0.1994017946161516,14.75,27.166666666666664,267.3254
21,tt8128188,high flying bird,2019,0.11204481792717089,0.008618832148243914,13.0,,35.873200000000004
22,tt4504044,the prodigy,2019,0.7843137254901963,0.025575447570332487,30.666666666666668,253.33333333333334,100.1525
23,tt2452244,isn't it romantic,2019,3.03921568627451,0.13659396342806787,22.25,57.41935483870967,303.72020000000003
24,tt8155288,happy death day 2u,2019,0.7058823529411765,0.03529411764705883,20.0,616.6666666666666,259.1848
25,tt2386490,how to train your dragon: the hidden world,2019,7.226890756302522,0.4864253393665159,14.857142857142858,303.1007751937984,602.895
26,tt6513120,fighting with my family,2019,0.7189542483660131,0.03994190268700072,18.0,255.45454545454547,307.1247
27,tt1488606,triple frontier,2019,9.019607843137257,0.3607843137254903,25.0,,559.5265
28,tt0012349,the kid,2019,0.5490196078431373,0.027450980392156866,20.0,-77.14285714285714,847.9446
29,tt6428676,wonder park,2019,4.901960784313727,0.4613610149942331,10.625,19.599999999999994,39.0282
30,tt5968394,captive state,2019,1.9607843137254908,0.0899442345745638,21.8,-64.8,244.902
31,tt8323104,nancy drew and the hidden staircase,2019,,,29.666666666666668,,12.7509
32,tt5977276,the aftermath,2019,,,36.0,,68.06519999999999
33,tt6472976,five feet apart,2019,0.9150326797385623,0.023664638269100747,38.666666666666664,1207.142857142857,185.868
34,tt1860242,the highwaymen,2019,2.745098039215687,0.14557338086749858,18.857142857142858,,391.44390000000004
36,tt6643972,triple threat,2019,,,12.0,,39.985
37,tt0800325,the dirt,2019,,,21.6,,225.386
38,tt0033563,dumbo,2019,13.333333333333334,0.5952380952380952,22.4,107.82352941176471,804.24
39,tt6511932,the beach bum,2019,0.2801120448179272,0.02063983488132095,13.571428571428571,-8.000000000000007,67.155
40,tt9024106,unplanned,2019,0.7843137254901963,0.02219755826859046,35.333333333333336,250.0,60.2794
41,tt0448115,shazam!,2019,6.535947712418302,0.2970885323826501,22.0,264.6,1359.011
42,tt0098084,pet sematary,2019,2.7450980392156867,0.08153756552125802,33.666666666666664,435.23809523809524,582.3444000000001
43,tt4807408,the best of enemies,2019,1.9607843137254903,0.02948547840188707,66.5,1.999999999999993,34.692
44,tt7976208,the haunting of sharon tate,2019,,,18.8,,6.812099999999999
45,tt0019585,the wind,2019,,,113.0,,46.255900000000004
46,tt7315484,the silence,2019,,,22.5,,148.68880000000001
47,tt0167190,hellboy,2019,3.267973856209151,0.16204829039053642,20.166666666666668,-10.799999999999997,2007.972
48,tt0449059,little,2019,1.3071895424836606,0.1161946259985476,11.25,,3258.8946
49,tt6348138,missing link,2019,13.071895424836605,0.4171881518564874,31.333333333333332,-73.8,66.77890000000001
50,tt4126476,after,2019,2.7450980392156867,0.05179430262671107,53.0,396.42857142857144,117.07740000000001
51,tt7083526,breakthrough,2019,0.7843137254901962,0.047329276538201494,16.571428571428573,260.0,31.217
53,tt4913966,the curse of la llorona,2019,1.1764705882352942,0.037950664136622396,31.0,1256.6666666666667,144.64980000000003
54,tt1442437,family,2019,1.1764705882352944,0.10818120351588914,10.875,693.3333333333334,2684.976
55,tt4058836,i spit on your grave: deja vu,2019,,,49.333333333333336,,3.204
56,tt8708304,i trapped the devil,2019,,,16.4,,5.8416
57,tt7942746,body at brighton rock,2019,,,10.875,,3.9743999999999997
58,tt2139881,long shot,2019,2.240896358543418,0.1254901960784314,17.857142857142858,33.49999999999999,392.0649
59,tt6722030,the intruder,2019,0.7843137254901962,0.030757400999615537,25.5,357.5,44.5115
60,tt1946502,uglydolls,2019,1.7320261437908497,0.23890015776425513,7.25,-38.679245283018865,18.1152
61,tt2481498,"extremely wicked, shockingly evil and vile",2019,,,18.0,,391.3338
62,tt5884052,pokémon detective pikachu,2019,7.352941176470589,0.5656108597285068,13.0,187.8,707.7813000000001
63,tt1298644,the hustle,2019,2.058823529411765,0.08760951188986234,23.5,352.3809523809524,152.11260000000001
64,tt3361792,tolkien,2019,1.9607843137254903,0.0700280112044818,28.0,-55.0,128.6696
65,tt5125894,poms,2019,0.4357298474945534,0.04357298474945534,10.0,65.0,12.859200000000001
66,tt5932728,the professor and the madman,2019,0.9803921568627454,0.07906388361796333,12.4,-78.4,144.7225
67,tt6146586,john wick: chapter 3 – parabellum,2019,3.6764705882352944,0.224517287831163,16.375,335.6,1500.8403999999998
68,tt8385474,a dog's journey,2019,,,18.166666666666668,,80.327
69,tt6423362,the sun is also a star,2019,1.7647058823529413,0.03529411764705883,50.0,-25.555555555555554,17.561700000000002
70,tt6865690,the professor,2019,0.9803921568627454,0.07906388361796333,12.4,-78.4,95.4281
71,tt6920356,the souvenir,2019,,,39.666666666666664,,28.093
72,tt8769848,the tomorrow man,2019,,,15.666666666666666,,4.466
73,tt7752126,brightburn,2019,0.9411764705882355,0.052287581699346414,18.0,174.16666666666666,337.6272
74,tt1489887,booksmart,2019,0.39215686274509814,0.022408963585434177,17.5,313.3333333333333,353.10960000000006
75,tt7374948,always be my maybe,2019,,,51.0,,245.1876
76,tt3741700,godzilla: king of the monsters,2019,6.535947712418301,0.5941770647653001,11.0,92.5,612.0007999999999
77,tt2066051,rocketman,2019,3.137254901960785,0.12963863231242914,24.2,387.99999999999994,598.3195999999999
78,tt7958736,ma,2019,0.32679738562091504,0.019805902158843338,16.5,1112.0,132.8712
79,tt6565702,dark phoenix,2019,9.803921568627452,0.6879944960440317,14.25,26.200000000000003,656.7571999999999
80,tt5113040,the secret life of pets 2,2019,2.413273001508296,0.36479708162334706,6.615384615384615,441.25,205.478
81,tt6107548,late night,2019,0.19607843137254904,0.015378700499807768,12.75,455.0,94.198
82,tt4353250,the last black man in san francisco,2019,,,17.142857142857142,,41.6768
84,tt2283336,men in black: international,2019,4.7930283224400885,0.3751065643648765,12.777777777777779,130.8181818181818,432.11839999999995
85,tt0162650,shaft,2019,2.7450980392156863,0.12254901960784315,22.4,-38.85714285714286,415.9854
86,tt8695030,the dead don't die,2019,,,7.357142857142857,,172.766
87,tt1618434,murder mystery,2019,,,16.166666666666668,,449.274
88,tt7645122,plus one,2019,,,16.333333333333332,,26.9478
89,tt0094862,child's play,2019,0.9803921568627452,0.04357298474945534,22.5,349.0,538.6127999999999
90,tt8350360,annabelle comes home,2019,2.5098039215686283,0.11838697743248247,21.2,614.375,242.61980000000003
91,tt8079248,yesterday,2019,2.5490196078431375,0.08789722785665992,29.0,481.923076923077,458.78790000000004
93,tt6772804,escape plan: the extractors,2019,0.14117647058823532,0.016042780748663107,8.8,-50.0,32.1948
94,tt8772262,midsommar,2019,0.7843137254901962,0.026677337601707353,29.4,311.0,621.0144
95,tt7734218,stuber,2019,0.7843137254901961,0.06746784735399536,11.625,102.49999999999999,147.27480000000003
96,tt8364368,crawl,2019,2.647058823529412,0.06085192697768763,43.5,577.7777777777778,242.3766
97,tt8637428,the farewell,2019,0.19607843137254907,0.01200480192076831,16.333333333333332,553.3333333333334,122.928
98,tt7131622,once upon a time in hollywood,2019,3.764705882352942,0.23383266350018272,16.1,287.91666666666663,2288.949
99,tt4995776,the red sea diving resort,2019,,,18.571428571428573,,107.393
100,tt1905041,fast & furious presents: hobbs & shaw,2019,11.204481792717088,0.5767012687427913,19.428571428571427,279.45,2509.8784
101,tt3758162,a score to settle,2019,,,51.5,,9.3105
102,tt8000718,the operative,2019,,,40.0,,10.572799999999999
103,tt7547410,dora and the lost city of gold,2019,3.8431372549019622,0.18838908112264519,20.4,144.28571428571428,76.134
104,tt5822564,the kitchen,2019,1.6557734204793029,0.14467923091566723,11.444444444444445,-58.1578947368421,34.8296
