,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted
60,tt1946502,uglydolls,2019,3774,4.8,53.0,32.5,12,4,87,0.3921568627450981,20.7843137254902
61,tt2481498,"extremely wicked, shockingly evil and vile",2019,59293,6.6,,9.88,6,4,108,0.3921568627450981,
62,tt5884052,pokémon detective pikachu,2019,105639,6.7,150.0,431.7,8,5,104,0.3921568627450981,58.82352941176471
63,tt1298644,the hustle,2019,28169,5.4,21.0,95.0,4,2,94,0.3921568627450981,8.23529411764706
64,tt3361792,tolkien,2019,18922,6.8,20.0,9.0,4,2,112,0.3921568627450981,7.843137254901961
65,tt5125894,poms,2019,2256,5.7,10.0,16.5,9,2,90,0.3921568627450981,3.9215686274509807
66,tt5932728,the professor and the madman,2019,19825,7.3,25.0,5.4,10,3,124,0.3921568627450981,9.803921568627452
67,tt6146586,john wick: chapter 3 – parabellum,2019,197479,7.6,75.0,326.7,8,3,131,0.3921568627450981,29.411764705882355
68,tt8385474,a dog's journey,2019,10855,7.4,,71.7,6,2,109,0.3921568627450981,
69,tt6423362,the sun is also a star,2019,3081,5.7,9.0,6.7,2,2,100,0.3921568627450981,3.5294117647058827
70,tt6865690,the professor,2019,14243,6.7,25.0,5.4,10,3,124,0.3921568627450981,9.803921568627452
71,tt6920356,the souvenir,2019,4322,6.5,,1.7,3,3,119,0.3921568627450981,
72,tt8769848,the tomorrow man,2019,812,5.5,,0.35,6,2,94,0.3921568627450981,
73,tt7752126,brightburn,2019,54456,6.2,12.0,32.9,5,4,90,0.3921568627450981,4.7058823529411775
74,tt1489887,booksmart,2019,49043,7.2,6.0,24.8,6,1,105,0.3921568627450981,2.3529411764705888
75,tt7374948,always be my maybe,2019,36057,6.8,,,2,2,102,0.3921568627450981,
76,tt3741700,godzilla: king of the monsters,2019,100328,6.1,200.0,385.0,12,4,132,0.3921568627450981,78.43137254901961
77,tt2066051,rocketman,2019,80854,7.4,40.0,195.2,5,3,121,0.3921568627450981,15.686274509803923
78,tt7958736,ma,2019,23727,5.6,5.0,60.6,6,4,99,0.3921568627450981,1.9607843137254903
79,tt6565702,dark phoenix,2019,113234,5.8,200.0,252.4,8,4,114,0.3921568627450981,78.43137254901961
80,tt5113040,the secret life of pets 2,2019,31612,6.5,80.0,433.0,13,3,86,0.3921568627450981,31.372549019607845
81,tt6107548,late night,2019,14492,6.5,4.0,22.2,8,2,102,0.3921568627450981,1.5686274509803924
82,tt4353250,the last black man in san francisco,2019,5632,7.4,,4.5,7,1,120,0.3921568627450981,
83,tt6612946,changeland,2019,833,5.5,,,8,2,,0.3921568627450981,
84,tt2283336,men in black: international,2019,77164,5.6,110.0,253.9,9,4,115,0.3921568627450981,43.13725490196079
85,tt0162650,shaft,2019,70506,5.9,35.0,21.4,5,4,112,0.3921568627450981,13.725490196078432
86,tt8695030,the dead don't die,2019,31412,5.5,,14.4,14,3,103,0.3921568627450981,
87,tt1618434,murder mystery,2019,74879,6.0,,,6,4,97,0.3921568627450981,
88,tt7645122,plus one,2019,4083,6.6,,0.02,6,3,98,0.3921568627450981,
89,tt0094862,child's play,2019,81608,6.6,10.0,44.9,4,2,90,0.3921568627450981,3.9215686274509807
90,tt8350360,annabelle comes home,2019,41122,5.9,32.0,228.6,5,3,106,0.3921568627450981,12.549019607843139
91,tt8079248,yesterday,2019,66491,6.9,26.0,151.3,4,3,116,0.3921568627450981,10.19607843137255
92,tt8400758,killers anonymous,2019,7439,6.0,15.0,,8,4,,0.3921568627450981,5.882352941176471
93,tt6772804,escape plan: the extractors,2019,7317,4.4,3.6,1.8,10,3,88,0.3921568627450981,1.4117647058823533
94,tt8772262,midsommar,2019,86252,7.2,10.0,41.1,5,3,147,0.3921568627450981,3.9215686274509807
95,tt7734218,stuber,2019,23754,6.2,16.0,32.4,8,3,93,0.3921568627450981,6.274509803921569
96,tt8364368,crawl,2019,39093,6.2,13.5,91.5,2,4,87,0.3921568627450981,5.294117647058824
97,tt8637428,the farewell,2019,15760,7.8,3.0,19.6,6,2,98,0.3921568627450981,1.1764705882352944
98,tt7131622,once upon a time in hollywood,2019,293455,7.8,96.0,372.4,10,2,161,0.3921568627450981,37.64705882352942
99,tt4995776,the red sea diving resort,2019,16522,6.5,,,7,4,130,0.3921568627450981,
100,tt1905041,fast & furious presents: hobbs & shaw,2019,353504,7.1,200.0,758.9,7,3,136,0.3921568627450981,78.43137254901961
101,tt3758162,a score to settle,2019,2069,4.5,,,2,4,103,0.3921568627450981,
102,tt8000718,the operative,2019,1888,5.6,,,3,1,120,0.3921568627450981,
