,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted,budget_per_actor,budget_per_time,runtime_per_actor,percent_revenue,total_ratings,book,sup,hor,com,spy,his,war,psy,rom,mon,fan,mus,pol,bio,sci,act,dra,dis,adv,mys,thr,dys,cri,epi,oth,ani,based_on_book,other,prescore,postscore,precount_wins,precount_noms,box_office_adjusted
45,tt0167190,hellboy,2019,295290,6.8,50.0,44.6,6.0,4,121.0,0.3921568627450981,19.607843137254907,3.267973856209151,0.16204829039053642,20.166666666666668,-10.800000000000013,2007.9720000000002,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0,1.0,0,0,0,0,0,0,0,1.0,0.0,0.4,0.0,0,2,17.490196078431374
46,tt0449059,little,2019,417807,7.8,40.0,,12.0,2,135.0,0.3921568627450981,15.686274509803926,1.3071895424836606,0.1161946259985476,11.25,414.61259731787686,3258.8946,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,1.0,0.0,25.211111111111112,0.0,4,27,80.72354467731404
47,tt6348138,missing link,2019,9967,6.7,100.0,26.2,3.0,3,94.0,0.3921568627450981,39.215686274509814,13.071895424836605,0.4171881518564874,31.333333333333332,-73.80000000000001,66.77890000000001,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0,0,0,0,0,0,1,0.0,0.0,0.2,0.0,0,1,10.27450980392157
48,tt4126476,after,2019,21681,5.4,14.0,69.5,2.0,2,106.0,0.3921568627450981,5.4901960784313735,2.7450980392156867,0.05179430262671107,53.0,396.4285714285714,117.0774,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,27.254901960784316
49,tt7083526,breakthrough,2019,5035,6.2,14.0,50.4,7.0,2,116.0,0.3921568627450981,5.4901960784313735,0.7843137254901962,0.047329276538201494,16.571428571428573,259.99999999999994,31.217,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,19.764705882352942
50,tt4913966,the curse of la llorona,2019,26787,5.4,9.0,122.1,3.0,3,93.0,0.3921568627450981,3.5294117647058827,1.1764705882352942,0.037950664136622396,31.0,1256.6666666666665,144.64980000000003,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,47.88235294117647
51,tt1442437,family,2019,319640,8.4,24.0,190.4,8.0,6,87.0,0.3921568627450981,9.411764705882355,1.1764705882352944,0.10818120351588914,10.875,693.3333333333331,2684.9759999999997,0,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,1,1.0,0.0,10.6,0.0,2,3,74.66666666666667
52,tt4058836,i spit on your grave: deja vu,2019,1335,2.4,,,3.0,2,148.0,0.3921568627450981,28.355129196472475,9.451709732157491,0.19158871078697617,49.333333333333336,331.60939714137345,3.2039999999999997,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,122.38340218355242
53,tt8708304,i trapped the devil,2019,1217,4.8,,,5.0,3,82.0,0.3921568627450981,-2.3162331130816725,-0.4632466226163345,-0.028246745281483812,16.4,1366.2911909109691,5.8416,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,-33.96272209807947
54,tt7942746,body at brighton rock,2019,864,4.6,,,8.0,2,87.0,0.3921568627450981,7.873955755732929,0.9842444694666161,0.09050523857164286,10.875,-20.331481086233875,3.9744,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,6.273063930517665
55,tt2139881,long shot,2019,56821,6.9,40.0,53.4,7.0,2,125.0,0.3921568627450981,15.686274509803926,2.240896358543418,0.1254901960784314,17.857142857142858,33.499999999999986,392.0649,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5.2,0.0,1,1,20.94117647058824
56,tt6722030,the intruder,2019,8093,5.5,8.0,36.6,4.0,5,102.0,0.3921568627450981,3.1372549019607847,0.7843137254901962,0.030757400999615537,25.5,357.50000000000006,44.5115,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,14.35294117647059
57,tt1946502,uglydolls,2019,3774,4.8,53.0,32.5,12.0,4,87.0,0.3921568627450981,20.784313725490197,1.7320261437908497,0.23890015776425513,7.25,-38.679245283018865,18.1152,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,1.0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0,0,12.745098039215687
58,tt2481498,"extremely wicked, shockingly evil and vile",2019,59293,6.6,,9.88,6.0,4,108.0,0.3921568627450981,14.237923810641021,2.3729873017735037,0.13183262787630576,18.0,-72.7873961439106,391.3338,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,1,0,1,0,0,0,1.0,0.0,0.5666666666666667,0.0,0,3,3.8745098039215695
59,tt5884052,pokémon detective pikachu,2019,105639,6.7,150.0,431.7,8.0,5,104.0,0.3921568627450981,58.82352941176471,7.352941176470589,0.5656108597285068,13.0,187.8,707.7813000000001,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0,1.0,1,0,0,0,0,0,0,1.0,0.0,0.2,0.0,0,1,169.29411764705884
60,tt1298644,the hustle,2019,28169,5.4,21.0,95.0,4.0,2,94.0,0.3921568627450981,8.23529411764706,2.058823529411765,0.08760951188986234,23.5,352.3809523809524,152.1126,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0.0,0.0,5.2,0.0,1,1,37.254901960784316
61,tt3361792,tolkien,2019,18922,6.8,20.0,9.0,4.0,2,112.0,0.3921568627450981,7.843137254901961,1.9607843137254903,0.0700280112044818,28.0,-55.00000000000001,128.6696,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3.5294117647058827
62,tt5125894,poms,2019,2256,5.7,10.0,16.5,9.0,2,90.0,0.3921568627450981,3.9215686274509807,0.4357298474945534,0.04357298474945534,10.0,65.00000000000001,12.8592,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,6.000000000000001,0.0,1,5,6.470588235294119
63,tt5932728,the professor and the madman,2019,19825,7.3,25.0,5.4,10.0,3,124.0,0.3921568627450981,9.803921568627453,0.9803921568627454,0.07906388361796333,12.4,-78.4,144.7225,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0,0.0,1,0,0,0,0,0,0,1.0,0.0,20.9,0.0,4,5,2.11764705882353
64,tt6146586,john wick: chapter 3 – parabellum,2019,197479,7.6,75.0,326.7,8.0,3,131.0,0.3921568627450981,29.411764705882355,3.6764705882352944,0.224517287831163,16.375,335.6,1500.8403999999996,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0,1,0,1,0,0,0,1.0,0.0,10.6,0.0,2,3,128.11764705882354
65,tt8385474,a dog's journey,2019,10855,7.4,,71.7,6.0,2,109.0,0.3921568627450981,14.034744864571508,2.3391241440952513,0.12875912719790375,18.166666666666668,100.3431293560746,80.327,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,28.117647058823533
66,tt6423362,the sun is also a star,2019,3081,5.7,9.0,6.7,2.0,2,100.0,0.3921568627450981,3.5294117647058827,1.7647058823529413,0.03529411764705883,50.0,-25.55555555555555,17.561700000000002,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,2.6274509803921573
67,tt6865690,the professor,2019,14243,6.7,25.0,5.4,10.0,3,124.0,0.3921568627450981,9.803921568627453,0.9803921568627454,0.07906388361796333,12.4,-78.4,95.4281,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,1.0,0.0,20.9,0.0,4,5,2.11764705882353
