,imdbID,budget,cast_size,gross,imdb_rating,n_votes,runtime,title,year
1631,tt0302886,24.0,3,87.0,7.1,206589,91.0,Old School,2003
1632,tt0102510,23.0,5,86.9,6.9,98560,85.0,The Naked Gun 2½: The Smell of Fear,1991
1633,tt0799949,20.0,10,86.9,2.4,99027,93.0,Epic Movie,2007
1634,tt0088170,16.0,8,87.0,6.7,70239,105.0,Star Trek III: The Search for Spock,1984
1635,tt2194499,12.0,5,87.1,7.8,274800,123.0,About Time(I) ,2013
1636,tt0316396,4.0,5,87.0,6.8,62827,76.0,Peter Pan,2003
1637,tt3332064,150.0,5,128.4,5.7,56976,111.0,Pan,2015
1638,tt0070608,100.0,5,86.0,7.6,106963,116.0,Robin Hood,1973
1639,tt0102797,100.0,5,86.0,5.8,4362,116.0,Robin Hood,1991
1640,tt0314353,100.5,4,86.5,6.6,108540,121.0,Tears of the Sun,2003
1641,tt0955308,100.0,5,86.0,6.6,243400,116.0,Robin Hood,2010
1642,tt4532826,100.0,5,86.0,5.3,53107,116.0,Robin Hood,2018
1643,tt0431197,72.5,8,86.5,7.0,113685,109.0,The Kingdom,2007
1644,tt2005151,50.0,4,86.0,7.1,160979,114.0,War Dogs,2016
1645,tt0250687,48.0,13,86.0,6.4,104418,112.0,Rat Race,2001
1646,tt0467197,35.0,8,85.8,5.4,118836,100.0,Max Payne,2008
1647,tt1980209,35.0,5,86.0,6.4,191156,129.0,Pain & Gain,2013
1648,tt0099487,20.0,7,86.0,7.9,423222,105.0,Edward Scissorhands,1990
1649,tt0405325,20.0,5,86.4,6.2,73901,100.0,Sky High,2005
1650,tt3622592,12.0,5,85.5,6.3,89846,109.0,Paper Towns,2015
1651,tt0088011,10.0,5,115.1,6.9,77408,106.0,Romancing the Stone,1984
1652,tt0053690,7.0,6,85.9,6.3,1869,110.0,Can-Can,1960
1653,tt0078767,19.0,3,108.0,6.2,33234,89.0,The Amityville Horror,1979
1654,tt0384806,19.0,3,108.0,6.0,100944,89.0,The Amityville Horror,2005
