,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,running_time
1120,tt0445934,blades of glory,2007,149469,6.3,61.0,145.7,7,93
1121,tt0117731,star trek: first contact,1996,112377,7.6,45.0,146.0,10,111
1122,tt0758766,music and lyrics,2007,92964,6.5,40.0,145.9,6,104
1123,tt0062622,2001: a space odyssey,1968,559687,8.3,12.0,146.0,2,142
1124,tt0097239,driving miss daisy,1989,91559,7.4,7.5,145.8,5,100
1125,tt0413895,charlotte's web,1973,34551,6.3,85.0,144.9,11,96
1126,tt0413895,charlotte's web,2006,34551,6.3,85.0,144.9,11,96
1128,tt2788732,pete's dragon,1977,50452,6.7,10.0,0.0,10,128
1129,tt0053137,on the beach,1959,10956,7.2,50.0,144.1,5,119
1131,tt0400497,herbie fully loaded,2005,42763,4.8,50.0,144.1,6,101
1132,tt0404032,the exorcism of emily rose,2005,113119,6.7,19.3,144.2,8,121
1133,tt1436562,rio,2011,195115,6.9,90.0,484.6,8,96
1134,tt4779682,the meg,2018,127291,5.7,130.0,530.2,6,113
1135,tt0266987,spy game,2001,138043,7.1,115.0,143.0,5,126
1136,tt0119643,meet joe black,1998,199824,7.2,90.0,142.9,6,181
1137,tt1570728,"crazy, stupid, love.",2011,445830,7.4,50.0,142.9,6,118
1138,tt3717490,power rangers,2017,96226,5.9,105.0,142.3,8,121
1139,tt1598822,new year's eve,2011,77829,5.7,56.0,142.0,19,118
1140,tt0348836,gothika,2003,101936,5.8,40.0,141.6,6,98
1142,tt0088939,the color purple,1985,72497,7.8,15.0,142.0,8,153
1143,tt0118972,the devil's own,1997,54395,6.2,86.0,140.81,6,111
1144,tt0257106,scary movie 2,2001,142046,5.3,45.0,141.2,16,82
1145,tt0256380,shallow hal,2001,122111,5.9,40.0,141.1,5,113
1146,tt3152624,trainwreck,2015,124123,6.2,35.0,140.8,9,125
1147,tt0134067,the rugrats movie,1998,17034,5.9,24.0,140.9,5,80
1148,tt3564472,girls trip,2017,31136,6.2,20.0,140.9,4,122
1149,tt0112442,bad boys,1983,212572,6.9,5.0,9.2,5,123
1150,tt0112442,bad boys,1995,212572,6.9,19.0,141.4,6,119
1151,tt1700841,sausage party,2016,164145,6.2,19.0,140.7,14,89
1152,tt0059800,thunderball,1965,96971,7.0,9.0,141.2,5,130
1153,tt0780653,the wolfman,2010,99351,5.8,150.0,139.8,4,103
1154,tt1219342,legend of the guardians: the owls of ga'hoole,2010,74921,6.9,80.0,140.1,12,97
1155,tt0385880,monster house,2006,92608,6.6,75.0,140.2,13,91
1156,tt0118617,anastasia,1997,104942,7.1,50.0,139.8,8,94
1157,tt1800741,step up revolution,2012,51944,6.4,33.0,140.5,8,99
1158,tt0072308,the towering inferno,1974,36332,6.9,14.0,139.7,11,165
1159,tt0104389,the hand that rocks the cradle,1992,35396,6.6,11.7,140.0,4,110
1160,tt0069704,american graffiti,1973,76613,7.4,0.78,140.0,8,112
1161,tt0073629,the rocky horror picture show,1975,124970,7.4,1.4,140.2,3,100
1162,tt0079945,star trek: the motion picture,1979,76680,6.4,46.0,139.0,10,132
1163,tt0099141,bird on a wire,1990,37489,6.0,20.0,138.7,4,110
1164,tt0890870,saw iv,2007,133492,5.9,10.0,139.4,5,92
1165,tt0104231,far and away,1992,55946,6.6,60.0,137.8,2,140
1166,tt0265029,america's sweethearts,2001,52857,5.7,46.0,160.6,8,103
1167,tt0398808,bridge to terabithia,2007,134719,7.1,25.0,138.0,5,95
1168,tt1924435,let's be cops,2014,123063,6.4,17.0,138.2,6,104
1169,tt0091763,platoon,1986,358749,8.1,6.0,138.5,3,120
1170,tt0486655,stardust,1974,242160,7.6,88.5,137.0,9,128
1171,tt0486655,stardust,2007,242160,7.6,88.5,137.0,9,128
1172,tt0107362,last action hero,1993,128417,6.4,85.0,137.3,11,131
1173,tt0118883,conspiracy theory,1997,89278,6.7,80.0,137.0,3,135
1174,tt0099674,the godfather: part iii,1990,332956,7.6,54.0,136.8,9,162
1175,tt1211956,escape plan,2013,216667,6.7,54.0,137.3,10,115
1176,tt0210945,remember the titans,2000,187784,7.8,30.0,136.7,6,113
1177,tt0099674,the godfather part iii,1990,332956,7.6,54.0,136.8,9,162
1179,tt0120738,lost in space,1998,67090,5.2,80.0,136.2,8,130
1180,tt1598778,contagion,2011,204101,6.6,60.0,135.5,6,106
1181,tt1205537,jack ryan: shadow recruit,2014,116951,6.2,60.0,135.5,4,105
1182,tt0974661,17 again,2009,170537,6.3,20.0,136.3,5,105
1183,tt1477076,saw: the final chapter,2010,84981,5.6,20.0,136.2,5,90
1184,tt0084522,porky's,1981,35979,6.2,5.0,136.0,6,98
1185,tt0066011,love story,1970,27829,6.9,2.2,136.4,2,100
1186,tt1027718,wall street: money never sleeps,2010,94559,6.2,70.0,134.7,7,133
1187,tt0107478,made in america,1993,14786,5.0,22.0,104.0,3,111
1188,tt0227005,made,2001,16287,6.4,5.0,5.48,4,94
1189,tt0452598,cheaper by the dozen 2,2005,51661,5.5,60.0,135.0,8,94
1190,tt0396171,perfume: the story of a murderer,2006,223460,7.5,60.0,135.0,4,147
1191,tt3532216,american made,2017,141379,7.1,60.0,134.9,5,115
1192,tt0368933,the princess diaries 2: royal engagement,2004,69271,5.8,40.0,134.7,6,113
1193,tt0102713,the prince of tides,1991,14925,6.7,30.0,135.0,8,132
1194,tt0107808,a perfect world,1993,69165,7.6,30.0,135.1,3,138
1195,tt0114388,sense and sensibility,1995,94459,7.6,16.0,135.0,4,136
1196,tt0493464,wanted,2008,345795,6.7,75.0,341.4,6,110
1198,tt0312528,the cat in the hat,2003,47436,3.9,109.0,134.0,5,82
1199,tt0141369,inspector gadget,1999,42833,4.1,90.0,134.4,8,78
1200,tt0083564,annie,1982,37497,6.6,78.0,133.8,5,118
1201,tt0083564,annie,2014,37210,6.6,78.0,133.8,5,118
1202,tt0105323,scent of a woman,1974,238913,8.0,31.0,134.1,2,156
1203,tt0105323,scent of a woman,1992,238913,8.0,31.0,134.1,2,156
1204,tt0107144,hot shots! part deux,1993,79906,6.6,25.0,133.8,5,86
1205,tt1596363,the big short,2015,321450,7.8,50.0,133.4,4,130
1206,tt1790885,zero dark thirty,2012,255941,7.4,40.0,132.8,8,157
1207,tt0092007,star trek iv: the voyage home,1986,73953,7.3,21.0,133.0,7,122
1208,tt1430132,the wolverine,2013,410353,6.7,132.0,414.8,4,126
1209,tt1272878,2 guns,2013,185071,6.7,61.0,131.9,7,109
1210,tt0434409,v for vendetta,2005,973444,8.2,54.0,132.5,4,132
1211,tt0104694,a league of their own,1992,85938,7.2,40.0,132.4,8,128
1212,tt0450385,1408,2007,245755,6.8,25.0,132.0,4,104
1213,tt0206275,save the last dance,2001,54595,6.2,13.0,131.7,4,112
1214,tt0374536,bewitched,2005,65949,4.8,85.0,131.4,11,102
1215,tt0111742,wolf,1994,50073,6.2,70.0,131.0,5,125
1216,tt0120611,blade,1998,232211,7.1,45.0,131.2,5,120
1217,tt0332379,school of rock,2003,250259,7.1,35.0,131.3,4,109
1218,tt6359956,a bad moms christmas,2017,36013,5.6,28.0,130.6,6,104
1219,tt1371111,cloud atlas,2012,331728,7.4,146.7,130.5,13,172
1220,tt0116705,jingle all the way,1996,85959,5.6,75.0,129.8,6,89
1221,tt0076245,julia,1977,8197,7.2,40.0,129.5,5,123
1222,tt0276751,about a boy,2002,164771,7.0,30.0,130.5,4,101
1223,tt0084434,an officer and a gentleman,1982,45252,7.0,6.0,130.0,4,124
1224,tt0964517,the fighter,2010,321668,7.8,25.0,129.2,5,116
1225,tt0298130,the ring,2002,304872,7.1,48.0,249.3,3,115
1226,tt0359013,blade: trinity,2004,159218,5.9,65.0,128.9,8,112
1227,tt0186566,space cowboys,2000,69938,6.4,60.0,128.9,9,130
1228,tt0318627,resident evil: apocalypse,2004,178186,6.2,45.0,129.3,6,94
1230,tt0758730,aliens vs. predator: requiem,2007,111190,4.7,40.0,128.9,5,94
1231,tt0783233,atonement,2007,233453,7.8,30.0,129.3,5,123
1233,tt0101862,father of the bride,1991,64542,6.5,20.0,129.0,4,105
1234,tt0377092,mean girls,2004,309956,7.0,17.0,129.0,6,97
1236,tt0838283,step brothers,2008,251667,6.9,65.0,128.1,6,98
1239,tt0113071,first knight,1995,64458,6.0,55.0,127.6,4,134
1240,tt0427229,failure to launch,2006,68860,5.6,50.0,128.4,7,97
1241,tt1385826,the adjustment bureau,2011,231206,7.0,50.2,127.9,5,106
1242,tt1086772,blended,2014,109541,6.5,40.0,128.0,7,117
1243,tt0083987,gandhi,1982,210267,8.0,22.0,127.8,7,191
1244,tt1197624,law abiding citizen,2009,256917,7.4,53.0,126.7,7,118
1245,tt1650062,super 8,2011,323941,7.0,50.0,260.1,10,112
1246,tt1424381,predators,2010,203167,6.4,40.0,127.2,5,107
1247,tt1596365,the woman in black,2012,167313,6.4,15.0,127.0,4,95
1248,tt1706593,chronicle,2012,232380,7.0,12.0,126.6,5,83
1250,tt1731141,ender's game,2013,214816,6.6,115.0,125.5,6,114
1251,tt1956620,sex tape,2014,102329,5.1,40.0,126.1,5,94
